Iterasi : 0
Total SSE : 78.94507

Iris-setosa
Centroid,5.883606,2.740984,4.388525,1.434426
Total: 61 data
6.40000009536743,3.20000004768372,4.5,1.5,Iris-versicolor
5.5,2.29999995231628,4,1.29999995231628,Iris-versicolor
6.5,2.79999995231628,4.59999990463257,1.5,Iris-versicolor
5.69999980926514,2.79999995231628,4.5,1.29999995231628,Iris-versicolor
6.30000019073486,3.29999995231628,4.69999980926514,1.60000002384186,Iris-versicolor
4.90000009536743,2.40000009536743,3.29999995231628,1,Iris-versicolor
6.59999990463257,2.90000009536743,4.59999990463257,1.29999995231628,Iris-versicolor
5.19999980926514,2.70000004768372,3.90000009536743,1.39999997615814,Iris-versicolor
5,2,3.5,1,Iris-versicolor
5.90000009536743,3,4.19999980926514,1.5,Iris-versicolor
6,2.20000004768372,4,1,Iris-versicolor
6.09999990463257,2.90000009536743,4.69999980926514,1.39999997615814,Iris-versicolor
5.59999990463257,2.90000009536743,3.59999990463257,1.29999995231628,Iris-versicolor
6.69999980926514,3.09999990463257,4.40000009536743,1.39999997615814,Iris-versicolor
5.59999990463257,3,4.5,1.5,Iris-versicolor
5.80000019073486,2.70000004768372,4.09999990463257,1,Iris-versicolor
6.19999980926514,2.20000004768372,4.5,1.5,Iris-versicolor
5.59999990463257,2.5,3.90000009536743,1.10000002384186,Iris-versicolor
5.90000009536743,3.20000004768372,4.80000019073486,1.79999995231628,Iris-versicolor
6.09999990463257,2.79999995231628,4,1.29999995231628,Iris-versicolor
6.30000019073486,2.5,4.90000009536743,1.5,Iris-versicolor
6.09999990463257,2.79999995231628,4.69999980926514,1.20000004768372,Iris-versicolor
6.40000009536743,2.90000009536743,4.30000019073486,1.29999995231628,Iris-versicolor
6.59999990463257,3,4.40000009536743,1.39999997615814,Iris-versicolor
6.80000019073486,2.79999995231628,4.80000019073486,1.39999997615814,Iris-versicolor
6,2.90000009536743,4.5,1.5,Iris-versicolor
5.69999980926514,2.59999990463257,3.5,1,Iris-versicolor
